[2026-04-15 15:11:53] [DEBUG   ] discord.gateway: Unknown event RATE_LIMITED.
[2026-04-15 15:11:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 5, 'op': 0, 'd': {'member': {'user': {'username': 'mohammadsalmansunakal', 'public_flags': 0, 'primary_guild': None, 'id': '1476250480408531137', 'global_name': 'salmanDN', 'display_name_styles': None, 'display_name': 'salmanDN', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ce11d724f9db55950eac6bde2e3b1e57'}, 'roles': ['1490641426005102632'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T07:59:12.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1476250480408531137', 'suppress': False, 'session_id': 'd57eac62651935e11bf68421409e5fed', 'self_video': False, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1485910845333442633', 'discoverable': True, 'deaf': False, 'channel_id': '1485910846008983794'}}
[2026-04-15 15:11:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:58] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2026-04-15 15:11:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_CHANNEL_START_TIME_UPDATE', 's': 6, 'op': 0, 'd': {'voice_start_time': 1776255115, 'id': '1485910846008983794', 'guild_id': '1485910845333442633'}}
[2026-04-15 15:11:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:58] [DEBUG   ] discord.gateway: Unknown event VOICE_CHANNEL_START_TIME_UPDATE.
[2026-04-15 15:11:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-15T12:11:55.811000+00:00', 'pinned': False, 'nonce': '3946270778854017014', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1485911686551572525'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T08:02:33.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1493946978264940654', 'flags': 0, 'embeds': [{'type': 'rich', 'title': '🟢 salmanDN joined a voice channel', 'timestamp': '2026-04-15T12:11:58.494599+00:00', 'thumbnail': {'width': 256, 'url': 'https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024', 'proxy_url': 'https://images-ext-1.discordapp.net/external/JadwpP2dGXPKxU4HYXvv5pUbL9kFeibsN3JQrKUYURY/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png', 'placeholder_version': 1, 'placeholder': 'VAgKFwQHyGeEiYWGeYeYiIh5eCB4B4QG', 'height': 256, 'flags': 0, 'content_type': 'image/png'}, 'id': '1493946978264940655', 'fields': [{'value': '<@1476250480408531137> (`1476250480408531137`)', 'name': '👤 User', 'inline': False}, {'value': 'General', 'name': '🔊 Channel', 'inline': True}, {'value': '2026-04-15 15:11:58', 'name': '🕐 Joined at', 'inline': True}], 'color': 3066993}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1493898473261764668', 'author': {'username': 'herbsbot', 'public_flags': 0, 'primary_guild': None, 'id': '1485595275258101900', 'global_name': None, 'display_name_styles': None, 'discriminator': '9471', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1485910845333442633'}}
[2026-04-15 15:11:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:11:58] [DEBUG   ] discord.client: Dispatching event message
